E (V),Av. I2 0uL,Av. I2 10uL,Av. I2 20uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0,3.42E-08,-9.58E-07,-1.8E-06,-5.71E-06,-6.09E-06,-5.670166E-06,-5.764771E-06,-5.828857E-06
0.00488,4.04E-08,-7.08E-07,-1.4E-06,-4.93E-06,-5.26E-06,-4.875183E-06,-4.956055E-06,-5.018616E-06
0.00977,4.58E-08,-5.2E-07,-1.1E-06,-4.27E-06,-4.57E-06,-4.217529E-06,-4.289551E-06,-4.3467715E-06
0.0146,4.86E-08,-3.72E-07,-8.52E-07,-3.71E-06,-3.97E-06,-3.6486815E-06,-3.710022E-06,-3.767853E-06
0.0195,5.11E-08,-2.57E-07,-6.52E-07,-3.21E-06,-3.44E-06,-3.140259E-06,-3.1959535E-06,-3.2536315E-06
0.0244,5.33E-08,-1.68E-07,-4.86E-07,-2.74E-06,-2.95E-06,-2.680206E-06,-2.7294925E-06,-2.784729E-06
0.0293,5.6E-08,-9.64E-08,-3.47E-07,-2.32E-06,-2.5E-06,-2.256622E-06,-2.301178E-06,-2.353821E-06
0.0342,5.65E-08,-3.57E-08,-2.29E-07,-1.92E-06,-2.08E-06,-1.863861E-06,-1.9029235E-06,-1.954956E-06
0.0390625,5.82E-08,1.37E-08,-1.3E-07,-1.55E-06,-1.68E-06,-1.49765E-06,-1.5348815E-06,-1.58432E-06
0.0439,5.94E-08,5.52E-08,-4.64E-08,-1.2E-06,-1.31E-06,-1.15966815E-06,-1.19476305E-06,-1.24221785E-06
0.0488,6.06E-08,9E-08,2.53E-08,-8.69E-07,-9.72E-07,-8.491515E-07,-8.831785E-07,-9.2849725E-07
0.0537,6.14E-08,1.15E-07,8.51E-08,-5.72E-07,-6.59E-07,-5.6793215E-07,-5.995178E-07,-6.430054E-07
0.0586,6.28E-08,1.42E-07,1.38E-07,-3.03E-07,-3.77E-07,-3.160095E-07,-3.4713745E-07,-3.881836E-07
0.0635,6.39E-08,1.63E-07,1.83E-07,-6.38E-08,-1.28E-07,-9.521484E-08,-1.25427235E-07,-1.63574225E-07
0.0684,6.58E-08,1.8E-07,2.21E-07,1.43E-07,8.48E-08,9.4299329E-08,6.423951E-08,2.8991715E-08
0.0732,6.59E-08,1.97E-07,2.55E-07,3.15E-07,2.64E-07,2.5161745E-07,2.2232055E-07,1.9073485E-07
0.078125,6.69E-08,2.09E-07,2.78E-07,4.57E-07,4.09E-07,3.7994385E-07,3.526306E-07,3.2424925E-07
0.083,6.85E-08,2.22E-07,3.04E-07,5.68E-07,5.24E-07,4.829407E-07,4.576111E-07,4.336548E-07
0.0879,6.85E-08,2.34E-07,3.27E-07,6.53E-07,6.15E-07,5.6427E-07,5.4290775E-07,5.230713E-07
0.0928,7.06E-08,2.45E-07,3.49E-07,7.19E-07,6.88E-07,6.30188E-07,6.156921E-07,6.0043335E-07
0.0977,7.26E-08,2.57E-07,3.68E-07,7.71E-07,7.55E-07,6.9076535E-07,6.8511965E-07,6.7550655E-07
0.1025391,7.4E-08,2.67E-07,3.86E-07,8.2E-07,8.24E-07,7.524109E-07,7.585144E-07,7.563782E-07
0.1074219,7.51E-08,2.77E-07,4.03E-07,8.73E-07,9.05E-07,8.239746E-07,8.453369E-07,8.531188E-07
0.1123047,7.63E-08,2.87E-07,4.19E-07,9.38E-07,1E-06,9.149171E-07,9.533691E-07,9.710693E-07
0.1171875,7.68E-08,2.98E-07,4.33E-07,1.02E-06,1.12E-06,1.02569565E-06,1.0838317E-06,1.1131287E-06
0.1220703,7.77E-08,3.08E-07,4.47E-07,1.12E-06,1.26E-06,1.15936285E-06,1.2358094E-06,1.2768554E-06
0.1269531,7.9E-08,3.17E-07,4.61E-07,1.22E-06,1.41E-06,1.3096615E-06,1.4025875E-06,1.4562985E-06
0.1318359,8.03E-08,3.27E-07,4.74E-07,1.33E-06,1.55E-06,1.468964E-06,1.5736385E-06,1.639404E-06
0.1367188,8.08E-08,3.39E-07,4.87E-07,1.43E-06,1.66E-06,1.6210935E-06,1.733704E-06,1.809082E-06
0.1416016,8.28E-08,3.49E-07,5.02E-07,1.52E-06,1.75E-06,1.752014E-06,1.8666075E-06,1.949463E-06
0.1464844,8.37E-08,3.6E-07,5.14E-07,1.57E-06,1.8E-06,1.8450925E-06,1.954956E-06,2.0394895E-06
0.1513672,8.47E-08,3.71E-07,5.24E-07,1.59E-06,1.8E-06,1.8859865E-06,1.9865415E-06,2.0687865E-06
0.15625,8.84E-08,3.81E-07,5.34E-07,1.58E-06,1.75E-06,1.872864E-06,1.9573975E-06,2.0350645E-06
0.1611328,8.82E-08,3.9E-07,5.43E-07,1.52E-06,1.67E-06,1.8032835E-06,1.871185E-06,1.938629E-06
0.1660156,9.19E-08,3.97E-07,5.46E-07,1.44E-06,1.54E-06,1.687622E-06,1.737671E-06,1.7945865E-06
0.1708984,9.21E-08,4.04E-07,5.5E-07,1.33E-06,1.4E-06,1.5400695E-06,1.5737915E-06,1.620636E-06
0.1757813,9.31E-08,4.1E-07,5.53E-07,1.21E-06,1.26E-06,1.3797E-06,1.399231E-06,1.4346315E-06
0.1806641,9.53E-08,4.15E-07,5.52E-07,1.1E-06,1.13E-06,1.2211605E-06,1.2319945E-06,1.259613E-06
0.1855469,9.63E-08,4.19E-07,5.49E-07,9.95E-07,1.01E-06,1.0791015E-06,1.08551E-06,1.1065675E-06
0.1904297,9.71E-08,4.21E-07,5.46E-07,9.08E-07,9.16E-07,9.6099855E-07,9.6450805E-07,9.831238E-07
0.1953125,1E-07,4.24E-07,5.43E-07,8.36E-07,8.43E-07,8.6761475E-07,8.7127685E-07,8.8882445E-07
0.2001953,1.03E-07,4.28E-07,5.39E-07,7.79E-07,7.87E-07,7.962036E-07,8.0307005E-07,8.189392E-07
0.2050781,1.05E-07,4.31E-07,5.36E-07,7.35E-07,7.46E-07,7.45697E-07,7.542419E-07,7.7163695E-07
0.2099609,1.07E-07,4.34E-07,5.33E-07,7.02E-07,7.16E-07,7.087707E-07,7.196045E-07,7.382202E-07
0.2148438,1.09E-07,4.36E-07,5.32E-07,6.77E-07,6.95E-07,6.8405155E-07,6.9641115E-07,7.1685795E-07
0.2197266,1.11E-07,4.4E-07,5.31E-07,6.57E-07,6.8E-07,6.6574095E-07,6.8115235E-07,7.0236205E-07
0.2246094,1.13E-07,4.43E-07,5.3E-07,6.42E-07,6.68E-07,6.538391E-07,6.7153925E-07,6.9503785E-07
0.2294922,1.14E-07,4.46E-07,5.3E-07,6.32E-07,6.62E-07,6.4636235E-07,6.6635135E-07,6.910706E-07
0.234375,1.18E-07,4.51E-07,5.31E-07,6.26E-07,6.59E-07,6.4178465E-07,6.640625E-07,6.9030765E-07
0.2392578,1.19E-07,4.55E-07,5.31E-07,6.21E-07,6.6E-07,6.401062E-07,6.64978E-07,6.932068E-07
0.2441406,1.21E-07,4.59E-07,5.31E-07,6.17E-07,6.6E-07,6.414795E-07,6.677246E-07,6.97937E-07
0.2490234,1.23E-07,4.63E-07,5.31E-07,6.17E-07,6.64E-07,6.439209E-07,6.732178E-07,7.0526125E-07
0.2539063,1.25E-07,4.67E-07,5.33E-07,6.19E-07,6.69E-07,6.477356E-07,6.7977905E-07,7.1289065E-07
0.2587891,1.28E-07,4.72E-07,5.35E-07,6.21E-07,6.77E-07,6.5460205E-07,6.8862915E-07,7.244873E-07
0.2636719,1.3E-07,4.77E-07,5.37E-07,6.25E-07,6.85E-07,6.617737E-07,6.97937E-07,7.356262E-07
0.2685547,1.33E-07,4.8E-07,5.38E-07,6.3E-07,6.94E-07,6.7108155E-07,7.0892335E-07,7.4874875E-07
0.2734375,1.35E-07,4.84E-07,5.42E-07,6.36E-07,7.05E-07,6.8130495E-07,7.221985E-07,7.6431275E-07
0.2783203,1.38E-07,4.9E-07,5.43E-07,6.43E-07,7.18E-07,6.92749E-07,7.3501585E-07,7.803345E-07
0.2832031,1.41E-07,4.93E-07,5.46E-07,6.53E-07,7.31E-07,7.0419315E-07,7.510376E-07,7.9849245E-07
0.2880859,1.43E-07,4.97E-07,5.51E-07,6.62E-07,7.45E-07,7.185364E-07,7.673645E-07,8.172607E-07
0.2929688,1.46E-07,5.03E-07,5.54E-07,6.73E-07,7.62E-07,7.341003E-07,7.8536985E-07,8.389282E-07
0.2978516,1.49E-07,5.07E-07,5.59E-07,6.84E-07,7.79E-07,7.5027465E-07,8.049011E-07,8.6166405E-07
0.3027344,1.52E-07,5.11E-07,5.64E-07,6.97E-07,7.97E-07,7.673645E-07,8.2473755E-07,8.8455195E-07
0.3076172,1.55E-07,5.16E-07,5.68E-07,7.11E-07,8.18E-07,7.853699E-07,8.4640505E-07,9.0927135E-07
0.3125,1.57E-07,5.2E-07,5.71E-07,7.24E-07,8.37E-07,8.0368045E-07,8.689881E-07,9.349059E-07
0.3173828,1.59E-07,5.23E-07,5.76E-07,7.4E-07,8.6E-07,8.2382205E-07,8.924866E-07,9.6221945E-07
0.3222656,1.63E-07,5.28E-07,5.83E-07,7.57E-07,8.82E-07,8.444214E-07,9.1751115E-07,9.912111E-07
0.3271484,1.66E-07,5.33E-07,5.88E-07,7.73E-07,9.06E-07,8.671568E-07,9.434511E-07,1.0218813E-06
0.3320313,1.7E-07,5.37E-07,5.94E-07,7.91E-07,9.31E-07,8.9050285E-07,9.706116E-07,1.0520936E-06
0.3369141,1.74E-07,5.43E-07,6.01E-07,8.1E-07,9.57E-07,9.1445935E-07,9.985353E-07,1.0850525E-06
0.3417969,1.78E-07,5.48E-07,6.07E-07,8.29E-07,9.85E-07,9.391785E-07,1.02813725E-06,1.1180116E-06
0.3466797,1.82E-07,5.53E-07,6.14E-07,8.5E-07,1.01E-06,9.6527095E-07,1.05743395E-06,1.152344E-06
0.3515625,1.85E-07,5.58E-07,6.2E-07,8.69E-07,1.04E-06,9.9090565E-07,1.0873413E-06,1.1866759E-06
0.3564453,1.9E-07,5.62E-07,6.26E-07,8.91E-07,1.07E-06,1.01669295E-06,1.1183166E-06,1.22222885E-06
0.3613281,1.94E-07,5.68E-07,6.31E-07,9.12E-07,1.1E-06,1.0429382E-06,1.1486814E-06,1.2568664E-06
0.3662109,1.97E-07,5.73E-07,6.37E-07,9.34E-07,1.13E-06,1.06918325E-06,1.1795042E-06,1.2918093E-06
0.3710938,2.03E-07,5.77E-07,6.4E-07,9.56E-07,1.16E-06,1.09542825E-06,1.2097167E-06,1.3278198E-06
0.3759766,2.07E-07,5.81E-07,6.44E-07,9.79E-07,1.19E-06,1.12060545E-06,1.24069205E-06,1.363373E-06
0.3808594,2.11E-07,5.85E-07,6.47E-07,1E-06,1.22E-06,1.1450197E-06,1.26998885E-06,1.3970945E-06
0.3857422,2.16E-07,5.88E-07,6.5E-07,1.02E-06,1.25E-06,1.17019675E-06,1.29898095E-06,1.431427E-06
0.390625,2.21E-07,5.91E-07,6.52E-07,1.05E-06,1.28E-06,1.19522085E-06,1.32797225E-06,1.4637755E-06
0.3955078,2.26E-07,5.94E-07,6.54E-07,1.07E-06,1.31E-06,1.2176512E-06,1.355896E-06,1.49704E-06
0.4003906,2.32E-07,5.96E-07,6.54E-07,1.09E-06,1.34E-06,1.2408449E-06,1.383667E-06,1.529846E-06
0.4052734,2.38E-07,5.99E-07,6.54E-07,1.11E-06,1.38E-06,1.2638857E-06,1.4108275E-06,1.560669E-06
0.4101563,2.44E-07,6.02E-07,6.53E-07,1.14E-06,1.41E-06,1.2864683E-06,1.4376835E-06,1.5922545E-06
0.4150391,2.49E-07,6.02E-07,6.56E-07,1.16E-06,1.44E-06,1.30966185E-06,1.4649965E-06,1.6256715E-06
0.4199219,2.57E-07,6.05E-07,6.57E-07,1.18E-06,1.47E-06,1.3327029E-06,1.4938355E-06,1.657867E-06
0.4248047,2.63E-07,6.07E-07,6.6E-07,1.21E-06,1.5E-06,1.35711655E-06,1.5232845E-06,1.693878E-06
0.4296875,2.72E-07,6.11E-07,6.63E-07,1.23E-06,1.53E-06,1.3845825E-06,1.5556335E-06,1.7303465E-06
0.4345703,2.79E-07,6.15E-07,6.67E-07,1.25E-06,1.57E-06,1.413574E-06,1.589203E-06,1.770172E-06
0.4394531,2.88E-07,6.19E-07,6.73E-07,1.28E-06,1.6E-06,1.4459225E-06,1.6273495E-06,1.813507E-06
0.4443359,2.96E-07,6.23E-07,6.82E-07,1.3E-06,1.64E-06,1.4813235E-06,1.67038E-06,1.8618775E-06
0.4492188,3.04E-07,6.29E-07,6.9E-07,1.33E-06,1.68E-06,1.5211485E-06,1.7158505E-06,1.9148255E-06
0.4541016,3.07E-07,6.36E-07,7.01E-07,1.36E-06,1.72E-06,1.5678405E-06,1.768341E-06,1.9743345E-06
0.4589844,3.17E-07,6.44E-07,7.14E-07,1.4E-06,1.77E-06,1.618805E-06,1.827545E-06,2.0402525E-06
0.4638672,3.27E-07,6.54E-07,7.26E-07,1.43E-06,1.83E-06,1.677246E-06,1.8930055E-06,2.11319E-06
0.46875,3.38E-07,6.64E-07,7.42E-07,1.48E-06,1.88E-06,1.7416385E-06,1.9659425E-06,2.193451E-06
0.4736328,3.46E-07,6.76E-07,7.61E-07,1.53E-06,1.95E-06,1.813812E-06,2.0462035E-06,2.280884E-06
0.4785156,3.58E-07,6.91E-07,7.83E-07,1.58E-06,2.02E-06,1.8922425E-06,2.1322635E-06,2.3750305E-06
0.4833984,3.71E-07,7.07E-07,8.07E-07,1.64E-06,2.09E-06,1.977081E-06,2.2253415E-06,2.4746705E-06
0.4882813,3.83E-07,7.26E-07,8.33E-07,1.7E-06,2.18E-06,2.0658875E-06,2.321472E-06,2.5790405E-06
0.4931641,3.95E-07,7.47E-07,8.64E-07,1.77E-06,2.26E-06,2.158661E-06,2.4217225E-06,2.684479E-06
