E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0,6.46E-08,8.05E-07,8.18E-07,1.71E-06,2.04E-06,2.22E-06
0.00488,7.44E-08,5.9E-07,9.69E-07,1.38E-06,1.67E-06,1.83E-06
0.00977,8.15E-08,4.32E-07,7.54E-07,1.11E-06,1.38E-06,1.51E-06
0.0146,8.67E-08,3.08E-07,5.83E-07,8.9E-07,1.12E-06,1.24E-06
0.0195,9.14E-08,2.1E-07,4.43E-07,7.06E-07,9.09E-07,1.01E-06
0.0244,9.52E-08,1.33E-07,3.26E-07,5.49E-07,7.23E-07,8.09E-07
0.0293,9.85E-08,9.36E-08,2.3E-07,4.15E-07,5.62E-07,6.34E-07
0.0342,1.01E-07,6.34E-08,1.48E-07,3.01E-07,4.22E-07,4.82E-07
0.0390625,1.05E-07,4.11E-08,9.54E-08,2.03E-07,3.01E-07,3.48E-07
0.0439,1.07E-07,6.27E-08,7.55E-08,1.16E-07,1.95E-07,2.3E-07
0.0488,1.09E-07,9.4E-08,5.87E-08,7.4E-08,1.01E-07,1.28E-07
0.0537,1.11E-07,1.21E-07,7.61E-08,5.31E-08,5.55E-08,4.97E-08
0.0586,1.13E-07,1.44E-07,1.14E-07,7.98E-08,5.05E-08,4.29E-08
0.0635,1.16E-07,1.64E-07,1.46E-07,1.28E-07,1.14E-07,1.13E-07
0.0684,1.18E-07,1.81E-07,1.75E-07,1.73E-07,1.7E-07,1.74E-07
0.0732,1.2E-07,1.96E-07,2E-07,2.11E-07,2.2E-07,2.29E-07
0.078125,1.22E-07,2.1E-07,2.2E-07,2.45E-07,2.6E-07,2.73E-07
0.083,1.25E-07,2.24E-07,2.39E-07,2.75E-07,3E-07,3.15E-07
0.0879,1.28E-07,2.35E-07,2.58E-07,2.99E-07,3.34E-07,3.53E-07
0.0928,1.3E-07,2.47E-07,2.77E-07,3.26E-07,3.63E-07,3.85E-07
0.0977,1.33E-07,2.58E-07,2.94E-07,3.49E-07,3.93E-07,4.17E-07
0.1025391,1.36E-07,2.69E-07,3.1E-07,3.72E-07,4.19E-07,4.46E-07
0.1074219,1.4E-07,2.8E-07,3.25E-07,3.94E-07,4.45E-07,4.74E-07
0.1123047,1.43E-07,2.91E-07,3.42E-07,4.15E-07,4.73E-07,5.04E-07
0.1171875,1.47E-07,3.03E-07,3.59E-07,4.38E-07,5.01E-07,5.35E-07
0.1220703,1.5E-07,3.17E-07,3.76E-07,4.63E-07,5.31E-07,5.73E-07
