E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0,7.51E-07,1.65E-06,1.97E-06,2.6E-06,3.04E-06,3.33E-06
0.00488,5.7E-07,1.33E-06,1.59E-06,2.17E-06,2.55E-06,2.81E-06
0.00977,4.33E-07,1.09E-06,1.31E-06,1.81E-06,2.14E-06,2.37E-06
0.0146,3.22E-07,8.8E-07,1.08E-06,1.51E-06,1.79E-06,1.99E-06
0.0195,2.31E-07,7.05E-07,8.83E-07,1.25E-06,1.49E-06,1.65E-06
0.0244,1.55E-07,5.56E-07,7.13E-07,1.02E-06,1.21E-06,1.34E-06
0.0293,1.18E-07,4.27E-07,5.65E-07,8.13E-07,9.69E-07,1.07E-06
0.0342,1.12E-07,3.13E-07,4.37E-07,6.32E-07,7.49E-07,8.2E-07
0.0390625,1.07E-07,2.12E-07,3.24E-07,4.72E-07,5.49E-07,5.96E-07
0.0439,9.97E-08,1.25E-07,2.23E-07,3.27E-07,3.71E-07,3.92E-07
0.0488,9.36E-08,4.85E-08,1.37E-07,1.98E-07,2.11E-07,2.07E-07
0.0537,1.21E-07,2E-08,5.86E-08,8.3E-08,6.61E-08,7E-08
0.0586,1.48E-07,8.01E-08,3.59E-08,5.16E-08,6.3E-08,1.04E-07
0.0635,1.72E-07,1.32E-07,7.03E-08,1.1E-07,1.77E-07,2.34E-07
0.0684,1.94E-07,1.79E-07,1.25E-07,1.92E-07,2.77E-07,3.46E-07
0.0732,2.15E-07,2.2E-07,1.73E-07,2.63E-07,3.65E-07,4.42E-07
0.078125,2.33E-07,2.58E-07,2.16E-07,3.26E-07,4.4E-07,5.22E-07
0.083,2.47E-07,2.9E-07,2.52E-07,3.81E-07,5.04E-07,5.91E-07
0.0879,2.61E-07,3.18E-07,2.86E-07,4.3E-07,5.59E-07,6.46E-07
0.0928,2.76E-07,3.45E-07,3.18E-07,4.69E-07,6.05E-07,6.91E-07
0.0977,2.89E-07,3.68E-07,3.48E-07,5.08E-07,6.44E-07,7.28E-07
0.1025391,3.02E-07,3.9E-07,3.76E-07,5.45E-07,6.79E-07,7.59E-07
0.1074219,3.14E-07,4.1E-07,4.03E-07,5.8E-07,7.1E-07,7.87E-07
0.1123047,3.28E-07,4.3E-07,4.31E-07,6.12E-07,7.4E-07,8.17E-07
